Date,Close*,Adj Close**,Volume,
"Nov 20, 2015","2,089.17","2,089.17","3,929,600,000","1,769.00"
"Nov 19, 2015","2,081.24","2,081.24","3,628,110,000","1,770.00"
"Nov 18, 2015","2,083.58","2,083.58","3,926,390,000","1,771.00"
"Nov 17, 2015","2,050.44","2,050.44","4,427,350,000","1,772.00"
"Nov 16, 2015","2,053.19","2,053.19","3,741,240,000","1,773.00"
"Nov 13, 2015","2,023.04","2,023.04","4,278,750,000","1,774.00"
"Nov 12, 2015","2,045.97","2,045.97","4,016,370,000","1,775.00"
"Nov 11, 2015","2,075.00","2,075.00","3,692,410,000","1,776.00"
"Nov 10, 2015","2,081.72","2,081.72","3,821,440,000","1,777.00"
"Nov 09, 2015","2,078.58","2,078.58","3,882,350,000","1,778.00"
"Nov 06, 2015","2,099.20","2,099.20","4,369,020,000","1,779.00"
"Nov 05, 2015","2,099.93","2,099.93","4,051,890,000","1,780.00"
"Nov 04, 2015","2,102.31","2,102.31","4,078,870,000","1,781.00"
"Nov 03, 2015","2,109.79","2,109.79","4,272,060,000","1,782.00"
"Nov 02, 2015","2,104.05","2,104.05","3,760,020,000","1,783.00"
"Oct 30, 2015","2,079.36","2,079.36","4,256,200,000","1,784.00"
"Oct 29, 2015","2,089.41","2,089.41","4,008,940,000","1,785.00"
"Oct 28, 2015","2,090.35","2,090.35","4,698,110,000","1,786.00"
"Oct 27, 2015","2,065.89","2,065.89","4,216,880,000","1,787.00"
"Oct 26, 2015","2,071.18","2,071.18","3,385,800,000","1,788.00"
"Oct 23, 2015","2,075.15","2,075.15","4,108,460,000","1,789.00"
"Oct 22, 2015","2,052.51","2,052.51","4,430,850,000","1,790.00"
"Oct 21, 2015","2,018.94","2,018.94","3,627,790,000","1,791.00"
"Oct 20, 2015","2,030.77","2,030.77","3,331,500,000","1,792.00"
"Oct 19, 2015","2,033.66","2,033.66","3,287,320,000","1,793.00"
"Oct 16, 2015","2,033.11","2,033.11","3,595,430,000","1,794.00"
"Oct 15, 2015","2,023.86","2,023.86","3,746,290,000","1,795.00"
